[INFO ] 2015-12-03 14:49:40,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175780031 || heartbeat: 45 || status: true
[INFO ] 2015-12-03 14:49:40,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175780531 || heartbeat: 46 || status: true
[INFO ] 2015-12-03 14:49:41,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175781031 || heartbeat: 47 || status: true
[INFO ] 2015-12-03 14:49:41,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175781531 || heartbeat: 48 || status: true
[INFO ] 2015-12-03 14:49:42,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175782031 || heartbeat: 49 || status: true
[INFO ] 2015-12-03 14:49:42,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175782531 || heartbeat: 50 || status: true
[INFO ] 2015-12-03 14:49:43,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175783031 || heartbeat: 51 || status: true
[INFO ] 2015-12-03 14:49:43,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175783531 || heartbeat: 52 || status: true
[INFO ] 2015-12-03 14:49:43,534 IntroducerRejoinThread.class pool-1-thread-3 Ping Introducer begins.
[INFO ] 2015-12-03 14:49:43,534 IntroducerRejoinThread.class pool-1-thread-3 Exiting from the method pingIntroducer.
[INFO ] 2015-12-03 14:49:44,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175784031 || heartbeat: 53 || status: true
[INFO ] 2015-12-03 14:49:44,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175784531 || heartbeat: 54 || status: true
[INFO ] 2015-12-03 14:49:45,031 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175785031 || heartbeat: 55 || status: true
[INFO ] 2015-12-03 14:49:45,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175785531 || heartbeat: 56 || status: true
[INFO ] 2015-12-03 14:49:46,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175786031 || heartbeat: 57 || status: true
[INFO ] 2015-12-03 14:49:46,531 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175786531 || heartbeat: 58 || status: true
[INFO ] 2015-12-03 14:49:47,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175787031 || heartbeat: 59 || status: true
[INFO ] 2015-12-03 14:49:47,531 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175787531 || heartbeat: 60 || status: true
[INFO ] 2015-12-03 14:49:48,031 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175788031 || heartbeat: 61 || status: true
[INFO ] 2015-12-03 14:49:48,531 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175788531 || heartbeat: 62 || status: true
[INFO ] 2015-12-03 14:49:48,534 IntroducerRejoinThread.class pool-1-thread-1 Ping Introducer begins.
[INFO ] 2015-12-03 14:49:48,534 IntroducerRejoinThread.class pool-1-thread-1 Exiting from the method pingIntroducer.
[INFO ] 2015-12-03 14:49:49,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175789031 || heartbeat: 63 || status: true
[INFO ] 2015-12-03 14:49:49,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175789531 || heartbeat: 64 || status: true
[INFO ] 2015-12-03 14:49:50,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175790031 || heartbeat: 65 || status: true
[INFO ] 2015-12-03 14:49:50,531 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175790531 || heartbeat: 66 || status: true
[INFO ] 2015-12-03 14:49:51,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175791031 || heartbeat: 67 || status: true
[INFO ] 2015-12-03 14:49:51,531 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175791531 || heartbeat: 68 || status: true
[INFO ] 2015-12-03 14:49:52,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175792031 || heartbeat: 69 || status: true
[INFO ] 2015-12-03 14:49:52,531 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175792531 || heartbeat: 70 || status: true
[INFO ] 2015-12-03 14:49:53,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175793031 || heartbeat: 71 || status: true
[INFO ] 2015-12-03 14:49:53,531 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175793531 || heartbeat: 72 || status: true
[INFO ] 2015-12-03 14:49:53,534 IntroducerRejoinThread.class pool-1-thread-3 Ping Introducer begins.
[INFO ] 2015-12-03 14:49:53,534 IntroducerRejoinThread.class pool-1-thread-3 Exiting from the method pingIntroducer.
[INFO ] 2015-12-03 14:49:54,031 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175794031 || heartbeat: 73 || status: true
[INFO ] 2015-12-03 14:49:54,531 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175794531 || heartbeat: 74 || status: true
